EPD_P_A_5-10	EPD_P_A_5-11	EPD_P_A_5-12	EPD_P_A_5-13	EPD_P_A_5-8	EPD_P_A_5-9	EPD_P_B_5-10	EPD_P_B_5-11	EPD_P_B_5-12	EPD_P_B_5-13	EPD_P_B_5-8	EPD_P_B_5-9	EPD_P_C_5-10	EPD_P_C_5-11	EPD_P_C_5-12	EPD_P_C_5-13	EPD_P_C_5-8	EPD_P_C_5-9	EPD_S_A_5-10	EPD_S_A_5-11	EPD_S_A_5-13	EPD_S_A_5-8	EPD_S_A_5-9	EPD_S_B_5-10	EPD_S_B_5-11	EPD_S_B_5-12	EPD_S_B_5-13	EPD_S_B_5-8	EPD_S_B_5-9	EPD_S_C_5-10	EPD_S_C_5-11	EPD_S_C_5-12	EPD_S_C_5-13	EPD_S_C_5-8	EPD_S_C_5-9	
CAF30919	402.1790817	454.9102873	343.8307669	375.6312647	267.5813108	422.0761767	452.2132026	406.5003034	382.3241688	553.1866097	295.3968633	402.1182509	372.6275664	353.1210341	274.4129581	232.8081632	186.0142189	427.2605933	324.169774	347.4422092	341.6733738	114.9545612	307.6645568	336.7354764	351.157418	364.709585	344.2859159	158.5230036	384.3838071	392.667452	406.3337107	358.1663244	345.266386	416.6181824	286.8146299
CAF30920	791.4646243	796.7589153	458.8968908	582.1416799	436.73126	825.2375485	758.7313394	685.8825737	627.8053332	832.6224244	394.7934612	769.0967361	675.2241516	520.4439867	553.395068	423.4454535	360.7968383	658.6962927	571.5748093	476.0085285	494.4599894	0	409.500594	733.6553116	541.5516058	537.4596749	595.2196051	413.1487068	382.8173893	522.6036895	434.7423588	553.9118663	498.912293	473.5793504	407.8422741
CAF30921	840.5840557	823.3869438	1351.933914	595.6259081	1563.862991	835.8395853	1314.80555	896.4662519	1480.916713	1083.007765	1125.593801	838.1562028	1422.269937	979.4514985	888.4390964	465.0536101	831.5688098	939.4638027	2661.767141	2103.217082	1689.335896	1976.740365	2426.627853	1950.978419	1820.581564	2133.842147	1572.122092	434.0736826	1414.185217	2222.641842	1911.486944	1675.109056	2552.444697	1049.742912	3427.34537
CAF30922	192.1488613	349.0375255	287.4299585	292.1114862	136.3229221	153.2942896	171.8904507	234.3085627	329.1469318	717.5357861	131.9731233	261.3207672	324.512391	468.7361914	168.8451608	114.9626534	353.0916699	196.105064	678.2513545	753.6361769	951.1364096	0	226.2609484	261.4393277	411.9352648	1012.061494	525.3179762	295.2104198	387.4855843	637.1342968	559.048094	946.0884371	607.7625493	386.9433994	560.0971498
CAF30923	1678.520665	1390.073147	2050.953118	1283.918983	3250.677457	1439.874851	2067.601779	1170.810047	2397.448715	1248.204348	3897.848812	2263.44998	1539.724613	1100.862789	1270.090251	1087.239555	2931.865048	2201.225893	2989.444817	1734.820695	1758.455447	1294.619018	2956.015524	2389.403995	1870.395525	2139.124211	2039.057734	3679.893712	1680.531917	1976.775872	1568.572737	1277.105475	1859.919353	2235.803319	2642.565365
CAF30924	1206.037672	1014.115982	1483.181563	715.0800829	1157.396619	1166.119225	1540.551583	1154.392311	1378.786016	1181.134703	611.3461062	1367.785516	1181.508761	971.4642243	1406.10669	699.5458112	984.9267914	1395.692489	2295.482345	1393.224295	1502.314186	0	2561.055238	1832.500078	1648.160202	1680.427309	1224.82479	1142.810813	2441.247039	1739.682727	1753.951165	1082.528844	1303.435621	2147.37092	2136.803185
CAF30925	1043.473253	946.8181772	697.8971745	613.7406335	1827.706425	1207.896084	1027.715194	783.8935288	1128.662778	1195.982088	1257.776104	1088.634809	852.9386711	569.5919018	854.9484299	374.3333968	1320.479057	901.522666	2166.074059	1761.678901	1283.784559	1482.987166	1831.761831	1961.148911	1710.989987	1684.751088	1733.396528	1366.41531	1750.445773	1864.061746	1856.544732	1586.310171	1479.747417	1415.045734	1661.67946
CAF30926	4638.627922	3809.75158	5164.072999	3684.348821	14118.29774	5130.900524	4994.555087	3649.064248	7258.123664	6433.563295	16583.02899	6522.620033	4173.80184	4179.761633	4369.892686	2628.742231	14518.99293	5286.53515	10095.713	7988.662378	6934.701833	9053.960097	10604.50385	8415.518582	8946.574218	11661.97391	8181.939436	13283.86859	11683.90061	8063.503528	8145.84064	7292.191534	7207.897134	6998.36652	8381.356246
CAF30927	1346.914689	959.1728903	1295.719129	1021.416228	2761.324836	1646.288075	1402.64363	572.9509036	1093.108722	1500.580813	2030.665014	1005.929419	1011.444195	938.1656678	850.6623246	572.4694435	2441.954445	830.1517001	3159.426857	1682.620407	2339.448679	0	2765.11353	2299.176869	2586.828558	2997.545881	1095.787935	2287.049672	2414.440983	3149.015866	2698.420903	3004.273044	3301.428516	2268.843467	2140.722671
CAF30928	76.86819693	107.5412673	70.94801142	62.6574407	0	52.53764678	48.9697684	93.26726717	48.48219736	154.9505957	0	55.50936151	34.50564104	140.4950264	88.19105134	111.8754719	8.323955214	66.57771808	35.51489278	40.52218829	43.95543599	0	22.71644079	41.3044923	98.4328623	65.02765118	40.66193266	0	45.51671235	51.52627213	48.80849536	17.61369383	14.80484663	152.8075132	25.52762714
CAF30929	2002.722085	1771.984797	1525.913209	1561.695373	1027.281867	2227.862938	1857.212554	1812.662227	1550.329446	1613.212033	1306.436864	2262.054633	1870.089153	1081.751562	1985.51601	1688.341982	1459.690779	2127.160236	1410.449514	1119.202671	1527.197056	136.2947997	1194.059619	1069.779255	919.1695702	1198.52317	1304.405941	934.6690772	1598.258433	1084.107584	1059.607528	765.5256497	1035.260056	1356.380661	1307.705829
CAF30930	45.84687918	38.61760514	41.15097922	67.23185589	44.83284295	61.62137519	31.11045153	32.02596123	25.99205698	86.72024487	35.44110054	80.51022335	19.97448878	96.23418261	67.36381213	49.87153622	34.43353305	28.57302803	38.1334632	55.85265898	70.02794945	0	0	77.04939606	39.00609111	56.76209401	0	38.15609587	77.03515121	42.11703098	32.49685823	22.85913648	0	55.2556753	35.15901172
CAF30931	75.63237648	0	59.95099975	49.78273176	104.2011559	26.54001379	34.99222677	69.17304609	22.12982273	50.98064514	29.69402306	61.02714998	51.3061602	37.20694926	58.99387121	34.47493635	122.553722	37.50738221	159.5559717	125.8887962	81.73845954	0	63.34164759	71.57347793	154.9583853	169.8872995	0	86.31309572	30.5594369	21.80398968	62.85191688	46.15080196	131.5193397	211.1587347	274.481297
CAF30932	34.02030213	26.97582454	0	32.95591839	0	21.78744012	14.12679019	21.83694809	0	0	0	0	89.33515725	0	29.00292695	62.54825888	32.15109503	0	63.22594519	0	29.4932112	0	0	28.64306669	0	0	86.28564427	0	0	0	21.94370465	56.11082419	0	0	69.49154585
CAF30933	32.26236225	20.38022155	0	7.283469889	4.7338136	32.96772394	16.83643354	18.45487001	14.6305988	15.3022995	7.836653215	24.28791073	20.4075571	16.49327393	9.939472353	7.563437823	0	14.3909095	15.20697198	11.50272669	12.56720474	0	39.72552866	25.78454344	20.14446038	16.12509453	18.83943618	0	0	26.11543594	10.58039084	14.22688617	0	0	0
CAF30934	245.4841453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAF30935	118.3112576	60.85640127	122.6263614	121.8498219	61.17029754	111.3663468	92.91663409	87.43013227	148.0798262	220.8996001	167.9264397	186.5454772	92.37234569	142.5367155	123.2454406	106.7105723	93.60551491	159.3270447	167.118262	118.2267967	64.98878061	0	144.71377	155.156317	75.05824403	184.5247269	102.9306812	151.4405656	61.16497903	50.94432045	78.15149242	96.10670352	43.60881139	124.3167752	149.9989749
CAF30936	78.39648954	60.75067477	44.41344787	75.83086995	10.99436928	70.33308148	94.18015949	78.41358369	125.2429757	108.3155432	8.653998219	106.0620349	68.86854962	112.7458652	28.68367791	99.05356743	0	55.17887615	36.88268818	33.19529129	50.96321877	0	0	41.52654384	52.85324081	15.80297521	0	0	75.85522568	13.6890686	23.23087819	32.2187934	25.96967483	63.80880711	43.19080908
CAF30937	74.5885776	113.1214171	104.038596	80.05373212	79.93039462	87.94382011	89.51511738	83.34887876	21.32324945	62.48684188	48.61754135	105.4151059	63.4697216	93.92634208	165.8952447	127.721297	54.03198109	63.56707841	68.27567302	105.3669269	61.85791932	0	62.46715421	87.79034816	76.64529215	135.8770473	73.68148622	33.78591494	102.7570616	104.3229908	87.86284	77.7058625	112.1168905	144.3476399	110.2536331
CAF30938	10828.84356	10861.8151	15632.72559	14660.34183	20736.60065	14815.45811	12421.2032	13855.23917	9523.380499	8935.158849	20913.85344	11746.63861	11976.98654	5884.785148	19002.32204	15485.84319	24844.92087	13801.37047	6409.236378	4681.740203	5351.861008	9436.923875	7751.717771	6595.460976	3589.354413	6442.792172	7028.660001	19535.82299	7569.09334	5013.521585	4074.530909	3316.074563	3193.5239	10951.41508	6963.789762
CAF30939	11797.31086	12797.45201	14757.66494	13650.82061	24808.44298	14772.98513	12137.36747	13481.63849	10184.1899	7432.103619	24005.00369	13106.33075	12481.77445	4193.751027	19526.06693	13957.99491	28484.27153	14695.97032	5859.381493	4430.094482	4254.167236	20929.07378	7306.159517	5538.79724	2694.216334	3920.98803	6819.941736	27852.09729	6430.168413	5523.881357	3407.089409	2557.593288	2751.809431	7834.136547	6110.436544
CAF30940	10971.46059	12615.81398	10132.59234	12882.948	13308.81447	13666.6909	13038.38643	13424.58769	7961.972817	6518.672842	5922.301941	8851.087704	10023.2556	4988.134761	11270.9314	10866.67243	6598.519578	9273.839854	5652.624391	4390.437879	3977.450378	6090.389178	4320.115287	5241.845195	3077.985062	4197.876493	6011.222908	4633.914418	3723.859885	4487.900562	3484.875364	3360.911002	3307.656429	6874.155714	6108.827845
CAF30941	6586.678604	7211.113832	6903.158833	8247.249189	5845.38648	6666.268618	8409.953141	7402.550569	4247.306453	4893.213849	5095.931164	7026.516359	7819.272484	3363.100632	7550.502312	10281.86525	5560.966482	6492.86022	4314.619837	4103.205393	3124.439576	954.8457584	5503.681409	4283.989853	2421.722109	2466.75356	4387.407751	5801.325856	3080.343426	4114.964074	2933.335642	3029.161457	2334.315918	8608.392401	5404.558061
CAF30942	28.67408057	37.60514431	22.32573798	23.00706901	3.228573602	38.50386209	34.49544093	13.67592391	0	11.40643974	0	12.34455017	15.22856151	76.18229243	12.67975951	31.65818417	12.74205361	16.17775922	10.77197967	27.2212652	25.24331895	0	27.42407585	6.50848552	20.38004702	70.0379599	0	0	12.45700708	28.86414123	24.49676677	10.99165811	28.89797018	47.74691146	0
