EPD_P_A_5-10	EPD_P_A_5-11	EPD_P_A_5-12	EPD_P_A_5-13	EPD_P_A_5-8	EPD_P_A_5-9	EPD_P_B_5-10	EPD_P_B_5-11	EPD_P_B_5-12	EPD_P_B_5-13	EPD_P_B_5-8	EPD_P_B_5-9	EPD_P_C_5-10	EPD_P_C_5-11	EPD_P_C_5-12	EPD_P_C_5-13	EPD_P_C_5-8	EPD_P_C_5-9	EPD_S_A_5-10	EPD_S_A_5-11	EPD_S_A_5-13	EPD_S_A_5-8	EPD_S_A_5-9	EPD_S_B_5-10	EPD_S_B_5-11	EPD_S_B_5-12	EPD_S_B_5-13	EPD_S_B_5-8	EPD_S_B_5-9	EPD_S_C_5-10	EPD_S_C_5-11	EPD_S_C_5-12	EPD_S_C_5-13	EPD_S_C_5-8	EPD_S_C_5-9	
AAS97251	33.67581254	76.58289503	31.13485716	70.51232905	32.65989318	41.73139443	68.13063583	70.2613	62.4741503	48.66055895	26.10946825	37.06159025	59.72047862	36.02277424	60.43300351	29.11348553	30.67325313	29.58717034	26.14172011	33.02845563	22.36647873	5.771908293	28.27382584	28.35383549	35.07212262	16.78617958	24.80126511	38.80708494	26.74103361	33.93888484	35.77095232	36.01160361	19.95808304	49.42279032	25.15457614
AAS97252	46.67887069	28.859736	72.11212172	51.58765629	19.91510122	39.48267037	40.30065105	45.83026213	31.86422619	79.48611098	28.26358108	36.9565713	0	42.20745045	0	49.26709194	40.28235648	17.24544812	22.93825754	45.44306753	34.45236131	29.39703166	17.27640456	35.01509933	39.2231401	11.68120814	31.60509905	32.84602196	28.92824216	36.00965704	34.56394058	40.89623104	40.78580241	51.33893516	32.80390614
AAS97253	152.2832352	145.5053067	106.7246424	77.64940186	168.6102644	102.3543947	65.01243492	140.3360852	108.6037303	314.2294205	47.31240456	89.72322806	47.42355499	206.5806369	42.28311556	0	83.11437432	54.68017194	96.97667863	110.2553596	84.76867934	71.12338034	113.0560337	121.1302656	142.1304558	101.3406913	94.85603325	80.64419217	88.26129189	114.9918505	91.67706514	95.17520928	111.4832489	117.9770378	121.1885771
AAS97254	640.028788	0	536.0891734	347.6388416	117.5137669	826.8718545	774.4183027	832.3306465	166.1921132	647.2294623	465.1751081	0	0	0	0	0	648.5484281	539.3167079	169.269204	352.2743406	207.6975389	821.3247754	508.0884692	205.9987813	275.0628435	284.6345094	145.6745663	330.0182198	475.3884331	303.9585518	342.2265182	652.2894179	104.0997672	270.851927	219.4984145
AAS97255	247.1548124	302.9832043	390.9951188	442.0259137	254.8862442	400.3006195	258.0756821	245.14862	405.7517527	213.0901036	195.6374183	236.2499991	369.8422984	320.8934964	271.8852762	406.3268655	201.2286565	172.5255618	261.3389163	251.0133396	217.5082073	343.5046406	264.9667722	288.4129277	253.029075	207.3954785	242.22956	177.4824948	183.6575454	213.9492089	253.2503677	300.1759124	190.2599152	293.969801	224.502947
AAS97256	170.3010396	150.1219544	113.4112406	239.8220403	119.9433572	209.1170555	198.9060243	198.0660642	189.3616088	214.1711723	185.440166	189.7247134	193.5772936	161.524536	239.4185914	327.0485486	157.0788563	79.06521611	257.4470997	369.9463264	350.1766467	246.7896761	252.8393881	327.4076884	287.0769536	293.0350012	300.8171615	187.8862157	229.7185427	256.9905483	308.1785776	289.956763	260.0582574	250.4285564	251.2824453
AAS97257	135.750132	24.187772	72.61356016	193.626246	71.80916646	171.7127922	262.4381608	170.5834534	149.9797005	314.1326967	109.2772402	142.4632458	166.4251714	200.4759541	161.3031117	0	125.3605079	244.5065123	128.994504	123.9770839	131.2077102	265.2111174	104.2936861	133.2332152	140.7089387	120.1447256	132.2950115	90.04444963	129.1190164	96.96934866	108.4074968	104.5546321	52.81862149	194.4122157	90.23254935
AAS97258	0	0	0	0	582.5480318	0	0	0	0	0	0	0	0	0	0	0	468.7900022	0	0	0	0	0	200.5411929	83.11184359	128.9222558	0	0	122.5291022	0	105.6667226	53.36581325	0	0	0	0
AAS97259	189.9504711	69.54062827	176.1137794	131.2222756	94.77900905	74.0242004	209.2784412	110.768812	73.68798306	116.6025527	151.5889075	185.8594425	226.2877542	128.4049484	62.14322201	130.0946868	152.0749527	176.524317	163.8681579	137.1163052	117.3997165	145.7741135	135.8078847	125.5434294	99.45448488	106.8955894	74.66943294	46.99078043	158.7907506	108.5864525	159.2978706	134.9225252	95.77710814	118.150818	126.0113788
AAS97260	213.4781087	0	237.5315756	142.843294	103.1168197	185.4464454	201.2859709	44.48897874	147.9900343	109.9710409	157.8374712	243.0869024	128.4832473	93.42338462	0	0	56.6850457	571.7915851	135.5251696	121.6189294	103.0721872	86.166576	161.9773039	176.143874	142.522011	125.1432396	114.90393	124.8637167	217.8856355	162.0075151	88.30169723	84.79453114	151.9745557	199.6393763	97.02174046
AAS97261	16.40532214	0	0	27.13588221	9.499547868	21.14408346	64.17406305	0	27.09383121	62.55890031	36.41572277	20.76949436	32.23057474	12.71173578	57.42475613	0	0	0	12.71672309	4.012347127	4.220618178	0	9.724818137	3.420695436	23.4342275	5.610200715	6.418253888	11.80512875	9.73169868	18.21882023	10.1293927	12.40826422	17.93739808	18.82729516	0
AAS97262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.29718957	44.10269337	0	0	0	0	59.63871226	56.10434951	0	0	53.78872413	0
AAS97263	234.0251184	240.8923235	252.5577671	224.1212859	170.0765381	159.4515792	168.2963512	157.1025625	150.8463823	118.2532154	98.60617081	79.66362624	208.4235375	199.3525866	283.7720956	212.2789477	189.812791	326.0076596	146.6989965	127.4545891	139.3196889	217.2502304	136.8304852	130.7365049	114.0336239	135.8640646	155.5095916	192.2716264	98.91094123	167.8847248	163.7563821	164.0018243	194.9840527	149.9640639	148.0752444
AAS97264	157.0511533	181.4159299	151.3743163	161.6963572	42.63917746	148.5272579	129.0876456	137.6293352	108.8943668	110.4342998	6.59878282	56.49533706	147.2485158	94.29780188	165.5085357	184.1906087	66.83059852	92.44893837	121.9988386	141.2894376	136.0042086	105.5228897	97.89155095	94.69528139	87.75808129	91.23657333	102.8230379	62.67385149	55.78424497	96.35212932	119.2177554	125.2442041	167.0509199	81.30393241	78.64641788
AAS97265	161.1941929	57.61506914	187.0236758	64.14909394	52.27057114	19.39756616	166.4272795	117.9796901	77.28018653	68.22766515	26.77168328	38.54428115	110.8766817	91.66798418	113.7526725	115.2206854	41.11740092	132.5141948	55.25679583	71.35441147	82.31994724	107.1445901	54.63389744	61.21879789	75.11470022	51.33576921	75.18602339	61.58444141	44.63209022	71.64812975	89.11896419	92.45165822	112.5666561	84.44518711	50.75765948
AAS97266	146.6733008	231.6246235	156.1718331	215.1366507	54.52194626	122.6240943	108.1902082	174.613098	91.83859147	100.7427842	101.9384231	141.9956972	163.7151431	86.66024601	60.86130594	107.5251901	119.4691356	150.9237278	156.2786086	110.5354645	102.6046368	120.618475	92.93579721	98.97517641	139.9587607	106.3510253	124.4050946	59.6463433	126.6670526	101.3148586	120.1213683	112.1040627	212.6205792	102.9397262	110.765921
AAS97267	219.0364996	170.5333433	250.704617	299.1023484	72.84581653	44.30301494	138.7265303	109.7427697	101.2232844	103.4156764	11.70562791	86.53605984	215.0535227	26.57253452	81.71191631	325.3529948	28.49023408	79.5947863	71.80189576	77.18087032	73.53712862	79.53882101	73.07271519	52.35548056	95.19984304	58.43836971	55.85616727	96.69768049	55.31757231	76.13720223	88.41782598	85.25828159	83.43915931	103.5113377	80.3221744
AAS97268	234.6665748	107.1267148	148.5432007	301.43241	65.28864765	176.6030151	221.6793451	158.0246279	75.75103502	112.4524587	66.94314975	76.35357974	56.43383425	134.6457986	400.2898052	105.727385	78.45343784	99.82202693	102.9363638	123.4366675	111.9914342	227.1871552	85.12636483	82.11632184	99.47640583	89.61252783	106.0476872	88.2402536	73.24428282	81.63606921	137.093229	95.3847639	117.1348499	88.95368717	117.1250136
AAS97269	102.2133691	233.5573034	207.2010982	142.0589035	38.83858942	109.4453501	73.99668601	187.7572508	134.7763453	117.5555091	9.627204332	11.56830053	56.5467681	77.74275235	148.5210256	307.8507905	23.82895169	109.7951898	88.3950117	118.6579625	99.21662215	101.1881486	46.95519019	55.68750407	83.84617769	64.62548264	91.41089293	34.94018321	48.13326019	72.71373055	110.511391	136.0830732	128.1171576	94.30707339	70.90059652
AAS97270	90.83482319	87.99660065	86.86621695	187.4357905	19.8130898	87.62520589	112.4700311	221.4431563	102.7963883	122.8577679	0	59.8973126	110.9067227	63.20230751	252.5770177	188.8082742	34.90494123	32.41837807	76.22839847	101.0062213	66.02452457	47.44766222	84.10804092	62.8249258	66.84846678	75.1672676	85.55289131	42.38004448	41.85804904	85.01159561	96.49873919	122.6818896	63.59849542	96.05573573	63.28680783
AAS97271	198.818323	186.6212543	184.6808477	117.2896997	292.8843273	93.33553093	101.5278304	35.98811972	82.11011734	59.39134948	130.1608995	129.5912807	253.9390448	187.2345387	189.0910155	173.8543021	279.3470702	67.69709466	108.1164965	63.61034747	50.25281585	215.2279422	85.16575403	51.47420993	57.77287521	51.12771121	46.98352583	253.7930101	148.2797998	101.5258392	99.01459758	103.6416418	109.2606458	197.805149	82.83241176
AAS97272	5.201870314	9.574816841	0	21.82426913	12.72273421	6.646716284	10.24349861	3.877858481	11.13352391	13.79024127	15.03222866	12.48718917	5.361699186	8.108879112	9.16825502	0	5.979121531	11.67907281	5.96478839	3.009397199	4.839589137	4.979206718	11.23771418	8.795883617	5.615119838	4.921867167	13.10020439	10.03972786	9.295382238	5.855185955	4.555798755	5.258652665	2.625353017	11.22338882	4.235231181
AAS97273	37.94788175	26.68209312	80.78424942	24.66284986	66.65577489	80.77285179	43.55787227	66.821199	75.74945906	37.25920636	57.28998639	76.36501443	67.84637627	78.18855938	55.37945139	32.9293716	57.30042973	79.28036772	53.93663333	54.7814767	44.45258214	62.53358146	40.17789617	44.04997383	56.03175147	58.36706466	53.18038593	46.22133116	33.78557732	36.26187629	55.73357482	55.45395873	60.52346356	48.69363103	43.90746747
AAS97274	9.781954517	94.58366117	77.34460425	65.19742743	18.82327306	101.1724048	39.54880743	29.6533352	121.3937232	40.14213532	12.0449543	12.56294349	0	46.16827184	74.14668019	0	19.10775836	23.8867931	15.51640737	22.64149302	33.15539276	58.4836842	17.63111038	22.09463582	42.2626265	37.96858448	23.0353156	19.17439774	21.97390111	24.88671735	28.26448631	11.66153642	33.44095944	33.84716773	24.6875624
AAS97275	26.19161433	48.75239565	13.88534047	53.78877	10.16558506	0	49.62845409	49.71644827	59.64953477	53.27478383	0	13.23788933	21.27163233	69.10635163	41.52863645	0	4.898840743	0	15.11929407	30.93358797	17.62778418	12.90744407	29.43377681	15.22718042	64.05018565	20.48297063	20.74589141	15.17956722	13.944133	12.9742013	19.47797724	14.73912816	35.87332413	9.391454224	11.57271264
AAS97276	53.68088036	142.9980356	58.77240072	51.61629892	30.38240501	30.04422664	20.62103677	36.01389993	78.93595451	142.5767704	28.58459771	29.58999558	61.26610442	159.0973936	88.73587418	0	22.70871919	36.05594699	42.15750173	41.6227623	46.96552287	48.53115682	27.9240991	41.73485185	96.68537706	57.81270603	58.22518734	32.72491731	40.74656435	33.00433451	49.65355721	51.38959187	53.08091373	19.57253236	16.92761448
AAS97277	5.960033557	33.10942304	0	10.20409557	0	0	16.04480918	18.85539869	5.199159192	7.842218722	0	7.62897783	0	18.77957948	0	0	5.397249396	0	8.341233833	10.29298829	8.226737612	9.223488601	7.458086707	8.689881842	20.11314669	10.7830008	26.52468695	3.073932274	0	5.250708782	10.30392377	11.79063165	19.87566357	9.184670984	7.673393597
AAS97278	9.229396721	0	0	0	0	0	0	14.89471884	7.851632428	24.03923558	0	11.61583972	0	28.81826461	0	0	15.05204823	21.40897726	9.210194999	0	2.485413385	0	0	1.929780707	14.78370993	3.191358971	11.27490221	0	8.285230417	8.213143263	9.368076314	6.879048567	10.28121137	0	3.921180749
AAS97279	0	0	0	0	0	0	0	0	0	0	0	0	0	14.01154046	0	0	0	0	0	7.664435031	0	0	4.782264254	0	29.91707484	5.253990647	19.35414318	0	0	3.3057524	1.555235292	0	8.085566116	6.732437275	3.6008805
AAS97280	0	0	0	0	0	0	0	0	13.97831675	20.93376257	0	0	0	12.83899697	0	0	0	0	3.141791035	0	8.633407939	0	0	3.260586226	5.647699229	5.818266941	0	0	9.883701395	3.416749348	4.867528938	3.978169185	8.180731462	3.142248855	7.10694682
AAS97281	0	0	0	0	40.18301169	36.67578728	0	0	24.03629175	0	39.07964146	0	0	20.85483196	0	0	32.69011223	0	10.59070356	6.886672513	0	0	8.930050032	6.27731403	4.757602864	0	0	22.25983359	0	12.63269067	0	14.17325117	14.88249013	16.61806618	12.62014329
